datetime,open,high,low,close,volume
2022-01-01 22:00:00,3746.77,3772.0,3737.41,3763.06,45927.09
2022-01-02 00:00:00,3763.05,3770.0,3740.48,3745.26,44608.132
2022-01-02 02:00:00,3745.27,3759.0,3740.03,3756.54,28525.299
2022-01-02 04:00:00,3756.64,3759.75,3714.48,3742.12,65214.042
2022-01-02 06:00:00,3742.12,3749.88,3732.18,3745.52,27085.014
2022-01-02 08:00:00,3745.53,3769.25,3730.5,3752.05,47440.942
2022-01-02 10:00:00,3752.06,3757.51,3738.84,3742.48,33195.383
2022-01-02 12:00:00,3742.46,3757.79,3728.2,3743.41,47703.487
2022-01-02 14:00:00,3743.4,3790.43,3740.79,3776.17,70826.056
2022-01-02 16:00:00,3776.18,3860.0,3775.63,3823.47,192658.149
2022-01-02 18:00:00,3822.95,3824.49,3770.56,3797.01,101295.739
2022-01-02 20:00:00,3797.01,3826.48,3792.09,3809.75,38664.227
2022-01-02 22:00:00,3809.75,3838.25,3808.6,3826.21,42862.96
2022-01-03 00:00:00,3826.1,3826.97,3792.36,3803.45,54977.808
2022-01-03 02:00:00,3803.63,3804.69,3772.85,3784.1,60371.976
2022-01-03 04:00:00,3784.1,3821.99,3778.25,3810.23,53984.656
2022-01-03 06:00:00,3810.23,3815.0,3797.12,3806.97,31828.69
2022-01-03 08:00:00,3806.96,3820.67,3790.01,3807.49,52883.829
2022-01-03 10:00:00,3807.43,3844.67,3806.75,3832.51,79477.942
2022-01-03 12:00:00,3832.51,3836.49,3816.16,3817.46,54869.101
2022-01-03 14:00:00,3817.49,3850.0,3775.0,3782.3,163553.054
2022-01-03 16:00:00,3782.29,3792.81,3732.2,3759.99,166791.254
2022-01-03 18:00:00,3759.99,3769.84,3737.45,3737.57,52221.644
2022-01-03 20:00:00,3737.45,3740.73,3680.0,3721.58,153720.963
2022-01-03 22:00:00,3721.58,3775.86,3720.68,3764.07,75198.436
2022-01-04 00:00:00,3764.07,3772.0,3727.12,3731.93,65605.92
2022-01-04 02:00:00,3732.03,3748.36,3711.0,3742.67,58226.051
2022-01-04 04:00:00,3742.66,3751.76,3726.45,3741.81,43334.29
2022-01-04 06:00:00,3741.81,3763.18,3733.97,3761.92,56769.959
2022-01-04 08:00:00,3761.91,3780.0,3755.23,3765.31,74173.889
2022-01-04 10:00:00,3765.32,3840.72,3763.0,3836.19,162574.065
2022-01-04 12:00:00,3836.19,3877.0,3815.0,3865.21,138769.021
2022-01-04 14:00:00,3865.03,3893.19,3842.85,3849.02,152267.154
2022-01-04 16:00:00,3849.02,3863.82,3835.55,3837.93,106088.394
2022-01-04 18:00:00,3837.93,3854.66,3756.71,3812.0,260972.683
2022-01-04 20:00:00,3812.0,3833.39,3798.08,3825.99,70201.546
2022-01-04 22:00:00,3825.99,3826.0,3784.1,3785.6,64797.718
2022-01-05 00:00:00,3785.6,3812.67,3767.0,3793.56,71743.736
2022-01-05 02:00:00,3793.57,3827.0,3792.93,3808.7,45526.068
2022-01-05 04:00:00,3808.67,3815.52,3797.0,3803.55,35069.438
2022-01-05 06:00:00,3803.56,3822.63,3800.03,3816.32,35724.803
2022-01-05 08:00:00,3816.32,3839.34,3802.4,3835.64,61284.352
2022-01-05 10:00:00,3835.64,3847.18,3780.01,3790.85,107881.407
2022-01-05 12:00:00,3790.86,3814.77,3762.42,3813.25,112177.649
2022-01-05 14:00:00,3813.26,3833.55,3788.0,3819.25,140219.741
2022-01-05 16:00:00,3819.25,3821.7,3770.0,3771.55,76939.0
2022-01-05 18:00:00,3771.74,3772.72,3638.0,3653.62,339316.283
2022-01-05 20:00:00,3653.54,3663.56,3551.0,3552.76,387219.063
2022-01-05 22:00:00,3552.76,3569.72,3405.0,3537.71,400880.408
2022-01-06 00:00:00,3537.81,3549.11,3501.0,3523.46,123659.481
2022-01-06 02:00:00,3523.46,3528.97,3443.57,3447.77,143436.354
2022-01-06 04:00:00,3448.0,3478.65,3405.42,3456.96,210907.597
2022-01-06 06:00:00,3456.96,3467.9,3420.0,3452.21,112315.467
2022-01-06 08:00:00,3452.2,3454.95,3292.31,3307.5,368575.428
2022-01-06 10:00:00,3307.5,3366.85,3306.97,3347.99,182256.396
2022-01-06 12:00:00,3347.99,3407.47,3316.1,3402.74,174089.314
2022-01-06 14:00:00,3402.74,3423.84,3356.0,3394.68,181242.809
2022-01-06 16:00:00,3394.41,3433.02,3380.77,3420.39,121045.904
2022-01-06 18:00:00,3420.28,3458.3,3413.45,3444.64,102978.734
2022-01-06 20:00:00,3444.64,3456.63,3412.2,3426.99,69246.374
2022-01-06 22:00:00,3426.99,3436.03,3403.37,3404.6,50735.49
2022-01-07 00:00:00,3404.61,3415.35,3363.78,3390.54,113913.445
2022-01-07 02:00:00,3390.55,3392.0,3220.29,3238.05,292758.467
2022-01-07 04:00:00,3238.05,3251.04,3138.0,3234.93,422010.863
2022-01-07 06:00:00,3234.92,3235.22,3112.5,3201.99,338862.647
2022-01-07 08:00:00,3202.0,3294.84,3188.12,3250.01,271048.255
2022-01-07 10:00:00,3250.01,3266.0,3214.66,3225.08,113592.267
2022-01-07 12:00:00,3225.07,3268.89,3089.99,3165.86,322170.179
